n_rows,n_covariates,n_state_dummies,fold_count,alpha_outcome,alpha_treatment,treatment_mean,treatment_sd,treatment_q10,treatment_q90,outcome_mean,effect_per_unit_treatment,effect_per_sd_treatment,effect_q90_minus_q10,effect_q90_minus_q10_pct_of_mean_outcome,outcome_cv_mean_r2,treatment_cv_mean_r2,intercept,slope,slope_se,z_value,p_value,ci_lower,ci_upper,residual_variance,model_name,outcome,treatment,effect_type,analysis_group,event_type,site,support_count,site_rank_within_event
1023,55,19,5,25.0,10.0,0.047902568219601864,0.06812152680743652,0.00300644119078786,0.15295961958723142,458.68993157380254,-285.9230251334221,-19.47751302148976,-42.875066395482854,-0.09347287447181368,0.46207460523549154,0.808722257936356,-0.2449736859516644,-285.9230251334221,51.83640371857781,-5.515873105042378,3.470526136209905e-08,-387.52237642183457,-184.32367384500958,2343.3550649847607,incidence_total_effect,all_cancer_incidence_rate,hypoxia_burden,total_effect,all_cancer,Incidence,All Cancer Sites Combined,,
1023,61,19,5,25.0,10.0,0.047902568219601864,0.06812152680743652,0.00300644119078786,0.15295961958723142,458.68993157380254,-296.82165735843296,-20.219944488770228,-44.509350937797144,-0.09703581411757162,0.4625364311525276,0.8092809676955335,-0.19322168690345934,-296.82165735843296,53.71111526272959,-5.526261294454986,3.271268235887044e-08,-402.09544327338295,-191.54787144348296,2333.872791378364,incidence_direct_effect,all_cancer_incidence_rate,hypoxia_burden,direct_effect,all_cancer,Incidence,All Cancer Sites Combined,,
1211,55,21,5,25.0,10.0,0.04770304090579854,0.06282985912392987,0.0037312848697884,0.1322197065833447,165.84013212221305,-97.01157748359255,-6.095223746684327,-12.464864478809181,-0.07516193046459595,0.48415598264747856,0.797522483311988,0.07711070419435148,-97.01157748359255,33.04829406391519,-2.9354488705520705,0.003330654960475997,-161.78623384886635,-32.23692111831876,444.4534239117283,mortality_total_effect,all_cancer_mortality_rate,hypoxia_burden,total_effect,all_cancer,Mortality,All Cancer Sites Combined,,
1211,61,21,5,25.0,10.0,0.04770304090579854,0.06282985912392987,0.0037312848697884,0.1322197065833447,165.84013212221305,-96.56735564516028,-6.067313351155854,-12.407787115898325,-0.07481775947184255,0.4828593242308579,0.7993551872038714,0.0581168478086236,-96.56735564516028,33.426028906858726,-2.888986780758318,0.003864853211737115,-162.08237230260337,-31.052338987717178,445.3068032172057,mortality_direct_effect,all_cancer_mortality_rate,hypoxia_burden,direct_effect,all_cancer,Mortality,All Cancer Sites Combined,,
981,55,19,5,25.0,10.0,0.04531812799922088,0.06487235144341116,0.0029275164916197,0.1409834437674887,111.48256880733945,-21.50460403921235,-1.3950542308831828,-2.968838051333859,-0.026630513479327052,0.4272875776290642,0.8166289565141197,0.03627604713467412,-21.50460403921235,25.212602069356976,-0.8529307677190815,0.3936976981927862,-70.92130409515202,27.91209601672732,443.53676307994374,site_incidence__prostate__total_effect,incidence_rate__prostate,hypoxia_burden,total_effect,site,Incidence,Prostate,981.0,1.0
981,61,19,5,25.0,10.0,0.04531812799922088,0.06487235144341116,0.0029275164916197,0.1409834437674887,111.48256880733945,-28.03372022321115,-1.8186133505864166,-3.8702212404076963,-0.03471593166368535,0.4259500628731594,0.8201279856677411,0.0214897761470013,-28.03372022321115,25.943737314982144,-1.0805582820568442,0.27989364821699075,-78.88344536057615,22.816004914153847,444.3321703792736,site_incidence__prostate__direct_effect,incidence_rate__prostate,hypoxia_burden,direct_effect,site,Incidence,Prostate,981.0,1.0
976,55,19,5,25.0,10.0,0.04212902897900258,0.05981217106609706,0.00287831177918915,0.11450523693709055,65.90163934426229,-89.73692165816556,-5.367360109163148,-10.017056637836507,-0.15200011316120074,0.6452870949029303,0.7962349331097254,0.027063384490112218,-89.73692165816556,14.573643666826653,-6.157480154563528,7.391150174188767e-10,-118.3012632451458,-61.172580071185315,128.38093980390153,site_incidence__lung_and_bronchus__total_effect,incidence_rate__lung_and_bronchus,hypoxia_burden,total_effect,site,Incidence,Lung and Bronchus,976.0,2.0
976,61,19,5,25.0,10.0,0.04212902897900258,0.05981217106609706,0.00287831177918915,0.11450523693709055,65.90163934426229,-92.92478303302433,-5.558033019051205,-10.372907800941633,-0.15739984474065663,0.6437347575903192,0.7974633535502597,0.035359184309627534,-92.92478303302433,15.025169426899563,-6.1846079996050545,6.22569788749566e-10,-122.37411510974746,-63.47545095630119,128.46552064558813,site_incidence__lung_and_bronchus__direct_effect,incidence_rate__lung_and_bronchus,hypoxia_burden,direct_effect,site,Incidence,Lung and Bronchus,976.0,2.0
975,55,19,5,25.0,10.0,0.045088755714948095,0.06522085015704081,0.00287449736645534,0.13852028577596473,122.08553846153846,-69.80702275020269,-4.552873370700109,-9.469028637471803,-0.07756060837995897,0.13968029596104511,0.8089148939873599,-0.0465774804280906,-69.80702275020269,20.829067149306983,-3.351423385877619,0.0008039728164397049,-110.63199436284438,-28.982051137561008,327.3908744073309,site_incidence__male_and_female_breast__total_effect,incidence_rate__male_and_female_breast,hypoxia_burden,total_effect,site,Incidence,Male and Female Breast,975.0,3.0
975,61,19,5,25.0,10.0,0.045088755714948095,0.06522085015704081,0.00287449736645534,0.13852028577596473,122.08553846153846,-75.06548809201665,-4.895834950814549,-10.182317314586237,-0.08340314047755992,0.13747636668368998,0.8114915139525923,-0.03961692959156658,-75.06548809201665,21.001387624830624,-3.574310870928561,0.0003511515265319361,-116.22820783668467,-33.902768347348626,327.97303371352615,site_incidence__male_and_female_breast__direct_effect,incidence_rate__male_and_female_breast,hypoxia_burden,direct_effect,site,Incidence,Male and Female Breast,975.0,3.0
954,55,19,5,25.0,10.0,0.04267252888374546,0.06071989448975827,0.0028706829537215304,0.11496250773151172,42.60010482180294,-47.12033520235016,-2.8611417818087443,-5.2818043569725734,-0.12398571268935753,0.3803351827086903,0.7880768572045062,-0.0007945715318037482,-47.12033520235016,12.323933400864396,-3.8234818113383473,0.00013158030237733594,-71.27524466804438,-22.965425736655945,70.08713476531673,site_incidence__colon_and_rectum__total_effect,incidence_rate__colon_and_rectum,hypoxia_burden,total_effect,site,Incidence,Colon and Rectum,954.0,4.0
954,61,19,5,25.0,10.0,0.04267252888374546,0.06071989448975827,0.0028706829537215304,0.11496250773151172,42.60010482180294,-49.552588349976524,-3.0088279363049995,-5.554440050611536,-0.13038559585348125,0.38400106219328234,0.7918279271889718,0.009409660145324064,-49.552588349976524,12.420206251265768,-3.9896751589714157,6.616384487597007e-05,-73.89619260245743,-25.20898409749562,69.4593227152121,site_incidence__colon_and_rectum__direct_effect,incidence_rate__colon_and_rectum,hypoxia_burden,direct_effect,site,Incidence,Colon and Rectum,954.0,4.0
801,55,19,5,25.0,10.0,0.04312275541293006,0.06072088136289498,0.0024378059329656,0.1120847251787297,25.969413233458177,-0.9755369594196233,-0.05923546397803824,-0.10696462221074168,-0.0041188694272434245,0.41981139107208304,0.7913362223789076,-0.04213218930249878,-0.9755369594196233,9.925629640672552,-0.09828464235882185,0.9217062727570564,-20.429771055137827,18.478697136298578,44.37498104556131,site_incidence__melanomas_of_the_skin__total_effect,incidence_rate__melanomas_of_the_skin,hypoxia_burden,total_effect,site,Incidence,Melanomas of the Skin,801.0,5.0
801,61,19,5,25.0,10.0,0.04312275541293006,0.06072088136289498,0.0024378059329656,0.1120847251787297,25.969413233458177,-1.4718846187911174,-0.08937413131748535,-0.16138761393567191,-0.006214526777514756,0.4176682772061782,0.7955671478670465,-0.04704206761227358,-1.4718846187911174,9.953077049746316,-0.14788236958626105,0.8824356022440883,-20.9799156362939,18.03614639871166,44.541049561352516,site_incidence__melanomas_of_the_skin__direct_effect,incidence_rate__melanomas_of_the_skin,hypoxia_burden,direct_effect,site,Incidence,Melanomas of the Skin,801.0,5.0
797,55,19,5,25.0,10.0,0.04141669943215314,0.05697234448094612,0.002255091530541821,0.10751135415844092,20.144040150564617,-13.73620139451457,-0.7825835977079365,-1.4458212214907393,-0.07177414315520089,0.2691203999923393,0.772439998555859,-0.011117750023459792,-13.73620139451457,5.566678169123119,-2.4675759900591383,0.013603134499763303,-24.646890605995882,-2.8255121830332577,16.870494237088543,site_incidence__urinary_bladder__total_effect,incidence_rate__urinary_bladder,hypoxia_burden,total_effect,site,Incidence,Urinary Bladder,797.0,6.0
797,61,19,5,25.0,10.0,0.04141669943215314,0.05697234448094612,0.002255091530541821,0.10751135415844092,20.144040150564617,-13.755205771711148,-0.7836663216322258,-1.4478215512080221,-0.0718734444722322,0.2697181123543719,0.775675474844307,-0.0017779606370139486,-13.755205771711148,5.65077837419217,-2.4342143437323496,0.014924154523815335,-24.8307313851278,-2.679680158294495,16.84836386044526,site_incidence__urinary_bladder__direct_effect,incidence_rate__urinary_bladder,hypoxia_burden,direct_effect,site,Incidence,Urinary Bladder,797.0,6.0
786,55,19,5,25.0,10.0,0.03810025861126593,0.051783314788522,0.0022476011441364503,0.0910646808128674,20.080407124681933,-11.563478610252758,-0.5987952529250595,-1.0270344009744854,-0.05114609452873597,0.3974502498400231,0.7518864646791913,-0.008746608076730462,-11.563478610252758,5.038736146591508,-2.29491647783045,0.02173791129752327,-21.439401457572114,-1.6875557629334033,16.051729131164112,site_incidence__kidney_and_renal_pelvis__total_effect,incidence_rate__kidney_and_renal_pelvis,hypoxia_burden,total_effect,site,Incidence,Kidney and Renal Pelvis,786.0,7.0
786,61,19,5,25.0,10.0,0.03810025861126593,0.051783314788522,0.0022476011441364503,0.0910646808128674,20.080407124681933,-11.110907144562464,-0.5753596022529163,-0.9868383250504762,-0.0491443385048453,0.3918002983417622,0.7563694924485928,-0.02359527579370868,-11.110907144562464,5.020908838581997,-2.2129274802169885,0.026902645778092416,-20.951888468183178,-1.2699258209417508,16.238295884688206,site_incidence__kidney_and_renal_pelvis__direct_effect,incidence_rate__kidney_and_renal_pelvis,hypoxia_burden,direct_effect,site,Incidence,Kidney and Renal Pelvis,786.0,7.0
754,55,19,5,25.0,10.0,0.041870175796352396,0.05780972201485384,0.0020284824781329,0.11076800257994923,18.919628647214857,-3.841914695565884,-0.2221000205554456,-0.41776796026795,-0.022081192398533112,0.17252702201321488,0.7708134208466056,0.0003343781140307432,-3.841914695565884,5.893068471988609,-0.6519379019313235,0.5144412329366094,-15.392328900663557,7.708499509531788,14.145099738812268,site_incidence__non_hodgkin_lymphoma__total_effect,incidence_rate__non_hodgkin_lymphoma,hypoxia_burden,total_effect,site,Incidence,Non-Hodgkin Lymphoma,754.0,8.0
754,61,19,5,25.0,10.0,0.041870175796352396,0.05780972201485384,0.0020284824781329,0.11076800257994923,18.919628647214857,-5.1180723212241235,-0.2958743381418843,-0.5565367280563003,-0.02941583782820323,0.1744335019336149,0.7757152302591017,0.002898274913789683,-5.1180723212241235,6.019801314968089,-0.8502061867886174,0.3952104626689729,-16.91688289856158,6.68073825611333,14.106097436347476,site_incidence__non_hodgkin_lymphoma__direct_effect,incidence_rate__non_hodgkin_lymphoma,hypoxia_burden,direct_effect,site,Incidence,Non-Hodgkin Lymphoma,754.0,8.0
1103,55,21,5,25.0,10.0,0.03969707295620635,0.051823596357493666,0.00343818772334488,0.08804000116109023,44.89918404351768,-58.673535398055684,-3.040673615335954,-4.963887495479255,-0.11055629631638965,0.6514366093264562,0.7599571340588642,0.015037686797677967,-58.673535398055684,10.35462364356536,-5.66640926969055,1.4582098826065308e-08,-78.9685977394438,-38.37847305666758,61.13800548180719,site_mortality__lung_and_bronchus__total_effect,mortality_rate__lung_and_bronchus,hypoxia_burden,total_effect,site,Mortality,Lung and Bronchus,1103.0,1.0
1103,61,21,5,25.0,10.0,0.03969707295620635,0.051823596357493666,0.00343818772334488,0.08804000116109023,44.89918404351768,-57.47712484831265,-2.978671317928224,-4.862668993354944,-0.10830194572449012,0.650570178484234,0.7638506318586451,0.022498046827670898,-57.47712484831265,10.78621200002936,-5.3287590535172304,9.888607781109742e-08,-78.6181003683702,-36.336149328255104,61.43777926991743,site_mortality__lung_and_bronchus__direct_effect,mortality_rate__lung_and_bronchus,hypoxia_burden,direct_effect,site,Mortality,Lung and Bronchus,1103.0,1.0
866,55,21,5,25.0,10.0,0.03708503187769918,0.04748937190420955,0.0027841576909672996,0.07974954763779049,15.728983833718244,-5.101458051369278,-0.24226503865519977,-0.39263570822099725,-0.024962560351756705,0.35857226060587755,0.704600548672078,-0.01589890714271363,-5.101458051369278,8.38949582076563,-0.6080768332635889,0.5431365164460962,-21.544869860069912,11.341953757331357,12.100229117533484,site_mortality__colon_and_rectum__total_effect,mortality_rate__colon_and_rectum,hypoxia_burden,total_effect,site,Mortality,Colon and Rectum,866.0,2.0
866,61,21,5,25.0,10.0,0.03708503187769918,0.04748937190420955,0.0027841576909672996,0.07974954763779049,15.728983833718244,-7.190128421874609,-0.3414546826654306,-0.5533910377573158,-0.03518288553205902,0.3673040899857055,0.7094087025081899,-0.014807736421060388,-7.190128421874609,8.427612611228966,-0.8531631380747697,0.39356884205715326,-23.70824913988338,9.327992296134166,11.920359221572497,site_mortality__colon_and_rectum__direct_effect,mortality_rate__colon_and_rectum,hypoxia_burden,direct_effect,site,Mortality,Colon and Rectum,866.0,2.0
703,55,21,5,25.0,10.0,0.03819538338883512,0.050227746065145656,0.00237400776441584,0.08804000116109023,11.856899004267424,0.8672445131439758,0.04355973718258649,0.07429336273629393,0.006265834153563673,0.12342670911787004,0.7251019727478878,0.00033500229615592394,0.8672445131439758,3.1043446469127165,0.2793647651224725,0.7799649083925708,-5.217270994804949,6.9517600210929,5.989548721753197,site_mortality__pancreas__total_effect,mortality_rate__pancreas,hypoxia_burden,total_effect,site,Mortality,Pancreas,703.0,3.0
703,61,21,5,25.0,10.0,0.03819538338883512,0.050227746065145656,0.00237400776441584,0.08804000116109023,11.856899004267424,-0.07585233823552552,-0.0038098919833415143,-0.0064979659064068425,-0.0005480324918065133,0.12739889283084882,0.7295625913492516,-0.002737984148173812,-0.07585233823552552,3.1891716726917805,-0.023784338386369556,0.981024632673757,-6.326628816711414,6.174924140240364,5.976939915682701,site_mortality__pancreas__direct_effect,mortality_rate__pancreas,hypoxia_burden,direct_effect,site,Mortality,Pancreas,703.0,3.0
653,55,21,5,25.0,10.0,0.03716240073062723,0.04983812194221063,0.00195256477213692,0.08234542709075764,20.903828483920368,8.418400902591454,0.4195572907417689,0.6767793447049872,0.03237585618469742,0.16834756178041937,0.7302243688678958,-0.046048808832811775,8.418400902591454,5.91968546466144,1.4221027371887436,0.1549964283046137,-3.184182608144969,20.020984413327877,16.615926284617863,site_mortality__male_and_female_breast__total_effect,mortality_rate__male_and_female_breast,hypoxia_burden,total_effect,site,Mortality,Male and Female Breast,653.0,4.0
653,61,21,5,25.0,10.0,0.03716240073062723,0.04983812194221063,0.00195256477213692,0.08234542709075764,20.903828483920368,8.003804649614795,0.39889459212913453,0.6434487652216185,0.03078138369325848,0.16271845266322074,0.7321942743787756,-0.05200430847522806,8.003804649614795,5.996548835015824,1.3347351734847788,0.18196303725913465,-3.7494310670162214,19.75704036624581,16.735872507131837,site_mortality__male_and_female_breast__direct_effect,mortality_rate__male_and_female_breast,hypoxia_burden,direct_effect,site,Mortality,Male and Female Breast,653.0,4.0
562,55,21,5,25.0,10.0,0.03999020131358099,0.054045836109560215,0.0019481722184845102,0.09500485725829678,20.83825622775801,30.061789421213003,1.624714544218989,2.797450469902979,0.13424590039240328,0.32282616759590893,0.7002266917631716,0.039426986785596384,30.061789421213003,8.118588264439067,3.702834586758052,0.00021320390138117838,14.149356422912431,45.97422241951357,23.7664137911552,site_mortality__prostate__total_effect,mortality_rate__prostate,hypoxia_burden,total_effect,site,Mortality,Prostate,562.0,5.0
562,61,21,5,25.0,10.0,0.03999020131358099,0.054045836109560215,0.0019481722184845102,0.09500485725829678,20.83825622775801,27.362380391676595,1.4788227262159972,2.5462524140477845,0.12219124221421171,0.3247864762166138,0.7026734716112374,0.0038081167499084845,27.362380391676595,8.366201962164364,3.2705856869606165,0.001073250222590929,10.96462454583444,43.76013623751875,23.847300690725948,site_mortality__prostate__direct_effect,mortality_rate__prostate,hypoxia_burden,direct_effect,site,Mortality,Prostate,562.0,5.0
499,55,21,5,25.0,10.0,0.03667283537851811,0.04961342853929482,0.00146519003758874,0.08886268775120916,7.140480961923847,-3.4752550325323774,-0.1724193172123698,-0.3037285937599963,-0.042536153429945316,0.3594122561913037,0.6136812424436193,-0.0050820730954611055,-3.4752550325323774,1.9883225678179743,-1.7478326146779057,0.08049301598288978,-7.3723672654556065,0.42185720039085206,2.376352013902703,site_mortality__liver_and_intrahepatic_bile_duct__total_effect,mortality_rate__liver_and_intrahepatic_bile_duct,hypoxia_burden,total_effect,site,Mortality,Liver and Intrahepatic Bile Duct,499.0,6.0
499,61,21,5,25.0,10.0,0.03667283537851811,0.04961342853929482,0.00146519003758874,0.08886268775120916,7.140480961923847,-4.006169906730913,-0.19875982438386755,-0.3501292252638899,-0.04903440358302632,0.3814694164329134,0.6143934671544921,-0.005945368021013203,-4.006169906730913,2.0419238293838107,-1.961958545701409,0.04976731074050261,-8.008340612323181,-0.003999201138644715,2.2819580719127335,site_mortality__liver_and_intrahepatic_bile_duct__direct_effect,mortality_rate__liver_and_intrahepatic_bile_duct,hypoxia_burden,direct_effect,site,Mortality,Liver and Intrahepatic Bile Duct,499.0,6.0
475,55,21,5,25.0,10.0,0.03852950487212402,0.051632570289985566,0.0016412817981213401,0.09134365902099552,6.657052631578948,0.8538745400713975,0.04408773720906553,0.07659457609449269,0.011505778958566783,0.2072633018828796,0.7071298661061897,0.011918419798522102,0.8538745400713975,2.500859530811274,0.3414324273520481,0.732778066677724,-4.0478101403187,5.755559220461495,3.171135054211475,site_mortality__leukemias__total_effect,mortality_rate__leukemias,hypoxia_burden,total_effect,site,Mortality,Leukemias,475.0,7.0
475,61,21,5,25.0,10.0,0.03852950487212402,0.051632570289985566,0.0016412817981213401,0.09134365902099552,6.657052631578948,0.03003350619889829,0.0015507071198693333,0.0026940769023791047,0.00040469514836029047,0.1983270599442713,0.7154490007807083,0.012336905738004666,0.03003350619889829,2.728292892150593,0.01100816788597217,0.9912169301897974,-5.317420562416264,5.377487574814061,3.213798192997857,site_mortality__leukemias__direct_effect,mortality_rate__leukemias,hypoxia_burden,direct_effect,site,Mortality,Leukemias,475.0,7.0
415,55,21,5,25.0,10.0,0.03807378638444847,0.04983199712863665,0.0015317863548105408,0.09134365902099552,5.536626506024096,-0.02294705447445752,-0.0011434975526818359,-0.0020609179345239892,-0.0003722335130032013,0.3059324219237576,0.6621229946598438,-0.003805985132962723,-0.02294705447445752,1.685753139529887,-0.013612345684764295,0.9891392549515385,-3.327023207953036,3.281129099004121,1.5079278653626196,site_mortality__non_hodgkin_lymphoma__total_effect,mortality_rate__non_hodgkin_lymphoma,hypoxia_burden,total_effect,site,Mortality,Non-Hodgkin Lymphoma,415.0,8.0
415,61,21,5,25.0,10.0,0.03807378638444847,0.04983199712863665,0.0015317863548105408,0.09134365902099552,5.536626506024096,-0.8376469991874933,-0.04174162285832227,-0.07523064563023911,-0.013587813002806821,0.3010310640367974,0.6696611812705354,-0.007511089204167559,-0.8376469991874933,1.8930241757283741,-0.44249144301878446,0.6581336210411344,-4.547974383615107,2.8726803852401197,1.5168425529191052,site_mortality__non_hodgkin_lymphoma__direct_effect,mortality_rate__non_hodgkin_lymphoma,hypoxia_burden,direct_effect,site,Mortality,Non-Hodgkin Lymphoma,415.0,8.0
