model_name,outcome,treatment,effect_type,covariates,includes_mediators,uses_foundation_embeddings,foundation_embedding_count,analysis_group,event_type,site,support_count,site_rank_within_event
site_incidence__colon_and_rectum__direct_effect,incidence_rate__colon_and_rectum,hypoxia_burden,direct_effect,"[""median_income_log1p"", ""acs_per_capita_income_log1p"", ""acs_poverty_pct"", ""acs_unemployment_rate"", ""acs_bachelors_plus_pct"", ""acs_less_than_high_school_pct"", ""acs_broadband_pct"", ""acs_owner_occupied_pct"", ""acs_rent_burden_35plus_pct"", ""acs_mean_travel_time_min"", ""acs_median_age_years"", ""acs_under_18_pct"", ""acs_age_65_plus_pct"", ""acs_nonhisp_white_pct"", ""acs_black_pct"", ""acs_hispanic_pct"", ""acs_asian_pct"", ""places_current_smoking_pct"", ""places_lpa_pct"", ""places_no_health_insurance_pct"", ""places_copd_pct"", ""places_poor_physical_health_pct"", ""places_poor_mental_health_pct"", ""svi_rpl_theme1"", ""svi_rpl_theme2"", ""svi_rpl_theme3"", ""svi_rpl_theme4"", ""svi_ep_limeng"", ""svi_ep_noveh"", ""rucc_code_2023"", ""rucc_nonmetro_flag"", ""local_diabetes_pct"", ""local_obesity_pct"", ""places_diabetes_pct"", ""places_obesity_pct"", ""places_high_blood_pressure_pct"", ""places_stroke_pct"", ""foundation_embedding_01"", ""foundation_embedding_02"", ""foundation_embedding_03"", ""foundation_embedding_04"", ""foundation_embedding_05"", ""foundation_embedding_06"", ""foundation_embedding_07"", ""foundation_embedding_08"", ""foundation_embedding_09"", ""foundation_embedding_10"", ""foundation_embedding_11"", ""foundation_embedding_12"", ""foundation_embedding_13"", ""foundation_embedding_14"", ""foundation_embedding_15"", ""foundation_embedding_16"", ""foundation_embedding_17"", ""foundation_embedding_18"", ""foundation_embedding_19"", ""foundation_embedding_20"", ""foundation_embedding_21"", ""foundation_embedding_22"", ""foundation_embedding_23"", ""foundation_embedding_24""]",True,True,24,site,Incidence,Colon and Rectum,954.0,4.0
site_incidence__melanomas_of_the_skin__total_effect,incidence_rate__melanomas_of_the_skin,hypoxia_burden,total_effect,"[""median_income_log1p"", ""acs_per_capita_income_log1p"", ""acs_poverty_pct"", ""acs_unemployment_rate"", ""acs_bachelors_plus_pct"", ""acs_less_than_high_school_pct"", ""acs_broadband_pct"", ""acs_owner_occupied_pct"", ""acs_rent_burden_35plus_pct"", ""acs_mean_travel_time_min"", ""acs_median_age_years"", ""acs_under_18_pct"", ""acs_age_65_plus_pct"", ""acs_nonhisp_white_pct"", ""acs_black_pct"", ""acs_hispanic_pct"", ""acs_asian_pct"", ""places_current_smoking_pct"", ""places_lpa_pct"", ""places_no_health_insurance_pct"", ""places_copd_pct"", ""places_poor_physical_health_pct"", ""places_poor_mental_health_pct"", ""svi_rpl_theme1"", ""svi_rpl_theme2"", ""svi_rpl_theme3"", ""svi_rpl_theme4"", ""svi_ep_limeng"", ""svi_ep_noveh"", ""rucc_code_2023"", ""rucc_nonmetro_flag"", ""foundation_embedding_01"", ""foundation_embedding_02"", ""foundation_embedding_03"", ""foundation_embedding_04"", ""foundation_embedding_05"", ""foundation_embedding_06"", ""foundation_embedding_07"", ""foundation_embedding_08"", ""foundation_embedding_09"", ""foundation_embedding_10"", ""foundation_embedding_11"", ""foundation_embedding_12"", ""foundation_embedding_13"", ""foundation_embedding_14"", ""foundation_embedding_15"", ""foundation_embedding_16"", ""foundation_embedding_17"", ""foundation_embedding_18"", ""foundation_embedding_19"", ""foundation_embedding_20"", ""foundation_embedding_21"", ""foundation_embedding_22"", ""foundation_embedding_23"", ""foundation_embedding_24""]",False,True,24,site,Incidence,Melanomas of the Skin,801.0,5.0
site_incidence__melanomas_of_the_skin__direct_effect,incidence_rate__melanomas_of_the_skin,hypoxia_burden,direct_effect,"[""median_income_log1p"", ""acs_per_capita_income_log1p"", ""acs_poverty_pct"", ""acs_unemployment_rate"", ""acs_bachelors_plus_pct"", ""acs_less_than_high_school_pct"", ""acs_broadband_pct"", ""acs_owner_occupied_pct"", ""acs_rent_burden_35plus_pct"", ""acs_mean_travel_time_min"", ""acs_median_age_years"", ""acs_under_18_pct"", ""acs_age_65_plus_pct"", ""acs_nonhisp_white_pct"", ""acs_black_pct"", ""acs_hispanic_pct"", ""acs_asian_pct"", ""places_current_smoking_pct"", ""places_lpa_pct"", ""places_no_health_insurance_pct"", ""places_copd_pct"", ""places_poor_physical_health_pct"", ""places_poor_mental_health_pct"", ""svi_rpl_theme1"", ""svi_rpl_theme2"", ""svi_rpl_theme3"", ""svi_rpl_theme4"", ""svi_ep_limeng"", ""svi_ep_noveh"", ""rucc_code_2023"", ""rucc_nonmetro_flag"", ""local_diabetes_pct"", ""local_obesity_pct"", ""places_diabetes_pct"", ""places_obesity_pct"", ""places_high_blood_pressure_pct"", ""places_stroke_pct"", ""foundation_embedding_01"", ""foundation_embedding_02"", ""foundation_embedding_03"", ""foundation_embedding_04"", ""foundation_embedding_05"", ""foundation_embedding_06"", ""foundation_embedding_07"", ""foundation_embedding_08"", ""foundation_embedding_09"", ""foundation_embedding_10"", ""foundation_embedding_11"", ""foundation_embedding_12"", ""foundation_embedding_13"", ""foundation_embedding_14"", ""foundation_embedding_15"", ""foundation_embedding_16"", ""foundation_embedding_17"", ""foundation_embedding_18"", ""foundation_embedding_19"", ""foundation_embedding_20"", ""foundation_embedding_21"", ""foundation_embedding_22"", ""foundation_embedding_23"", ""foundation_embedding_24""]",True,True,24,site,Incidence,Melanomas of the Skin,801.0,5.0
site_incidence__urinary_bladder__total_effect,incidence_rate__urinary_bladder,hypoxia_burden,total_effect,"[""median_income_log1p"", ""acs_per_capita_income_log1p"", ""acs_poverty_pct"", ""acs_unemployment_rate"", ""acs_bachelors_plus_pct"", ""acs_less_than_high_school_pct"", ""acs_broadband_pct"", ""acs_owner_occupied_pct"", ""acs_rent_burden_35plus_pct"", ""acs_mean_travel_time_min"", ""acs_median_age_years"", ""acs_under_18_pct"", ""acs_age_65_plus_pct"", ""acs_nonhisp_white_pct"", ""acs_black_pct"", ""acs_hispanic_pct"", ""acs_asian_pct"", ""places_current_smoking_pct"", ""places_lpa_pct"", ""places_no_health_insurance_pct"", ""places_copd_pct"", ""places_poor_physical_health_pct"", ""places_poor_mental_health_pct"", ""svi_rpl_theme1"", ""svi_rpl_theme2"", ""svi_rpl_theme3"", ""svi_rpl_theme4"", ""svi_ep_limeng"", ""svi_ep_noveh"", ""rucc_code_2023"", ""rucc_nonmetro_flag"", ""foundation_embedding_01"", ""foundation_embedding_02"", ""foundation_embedding_03"", ""foundation_embedding_04"", ""foundation_embedding_05"", ""foundation_embedding_06"", ""foundation_embedding_07"", ""foundation_embedding_08"", ""foundation_embedding_09"", ""foundation_embedding_10"", ""foundation_embedding_11"", ""foundation_embedding_12"", ""foundation_embedding_13"", ""foundation_embedding_14"", ""foundation_embedding_15"", ""foundation_embedding_16"", ""foundation_embedding_17"", ""foundation_embedding_18"", ""foundation_embedding_19"", ""foundation_embedding_20"", ""foundation_embedding_21"", ""foundation_embedding_22"", ""foundation_embedding_23"", ""foundation_embedding_24""]",False,True,24,site,Incidence,Urinary Bladder,797.0,6.0
site_incidence__urinary_bladder__direct_effect,incidence_rate__urinary_bladder,hypoxia_burden,direct_effect,"[""median_income_log1p"", ""acs_per_capita_income_log1p"", ""acs_poverty_pct"", ""acs_unemployment_rate"", ""acs_bachelors_plus_pct"", ""acs_less_than_high_school_pct"", ""acs_broadband_pct"", ""acs_owner_occupied_pct"", ""acs_rent_burden_35plus_pct"", ""acs_mean_travel_time_min"", ""acs_median_age_years"", ""acs_under_18_pct"", ""acs_age_65_plus_pct"", ""acs_nonhisp_white_pct"", ""acs_black_pct"", ""acs_hispanic_pct"", ""acs_asian_pct"", ""places_current_smoking_pct"", ""places_lpa_pct"", ""places_no_health_insurance_pct"", ""places_copd_pct"", ""places_poor_physical_health_pct"", ""places_poor_mental_health_pct"", ""svi_rpl_theme1"", ""svi_rpl_theme2"", ""svi_rpl_theme3"", ""svi_rpl_theme4"", ""svi_ep_limeng"", ""svi_ep_noveh"", ""rucc_code_2023"", ""rucc_nonmetro_flag"", ""local_diabetes_pct"", ""local_obesity_pct"", ""places_diabetes_pct"", ""places_obesity_pct"", ""places_high_blood_pressure_pct"", ""places_stroke_pct"", ""foundation_embedding_01"", ""foundation_embedding_02"", ""foundation_embedding_03"", ""foundation_embedding_04"", ""foundation_embedding_05"", ""foundation_embedding_06"", ""foundation_embedding_07"", ""foundation_embedding_08"", ""foundation_embedding_09"", ""foundation_embedding_10"", ""foundation_embedding_11"", ""foundation_embedding_12"", ""foundation_embedding_13"", ""foundation_embedding_14"", ""foundation_embedding_15"", ""foundation_embedding_16"", ""foundation_embedding_17"", ""foundation_embedding_18"", ""foundation_embedding_19"", ""foundation_embedding_20"", ""foundation_embedding_21"", ""foundation_embedding_22"", ""foundation_embedding_23"", ""foundation_embedding_24""]",True,True,24,site,Incidence,Urinary Bladder,797.0,6.0
site_incidence__kidney_and_renal_pelvis__total_effect,incidence_rate__kidney_and_renal_pelvis,hypoxia_burden,total_effect,"[""median_income_log1p"", ""acs_per_capita_income_log1p"", ""acs_poverty_pct"", ""acs_unemployment_rate"", ""acs_bachelors_plus_pct"", ""acs_less_than_high_school_pct"", ""acs_broadband_pct"", ""acs_owner_occupied_pct"", ""acs_rent_burden_35plus_pct"", ""acs_mean_travel_time_min"", ""acs_median_age_years"", ""acs_under_18_pct"", ""acs_age_65_plus_pct"", ""acs_nonhisp_white_pct"", ""acs_black_pct"", ""acs_hispanic_pct"", ""acs_asian_pct"", ""places_current_smoking_pct"", ""places_lpa_pct"", ""places_no_health_insurance_pct"", ""places_copd_pct"", ""places_poor_physical_health_pct"", ""places_poor_mental_health_pct"", ""svi_rpl_theme1"", ""svi_rpl_theme2"", ""svi_rpl_theme3"", ""svi_rpl_theme4"", ""svi_ep_limeng"", ""svi_ep_noveh"", ""rucc_code_2023"", ""rucc_nonmetro_flag"", ""foundation_embedding_01"", ""foundation_embedding_02"", ""foundation_embedding_03"", ""foundation_embedding_04"", ""foundation_embedding_05"", ""foundation_embedding_06"", ""foundation_embedding_07"", ""foundation_embedding_08"", ""foundation_embedding_09"", ""foundation_embedding_10"", ""foundation_embedding_11"", ""foundation_embedding_12"", ""foundation_embedding_13"", ""foundation_embedding_14"", ""foundation_embedding_15"", ""foundation_embedding_16"", ""foundation_embedding_17"", ""foundation_embedding_18"", ""foundation_embedding_19"", ""foundation_embedding_20"", ""foundation_embedding_21"", ""foundation_embedding_22"", ""foundation_embedding_23"", ""foundation_embedding_24""]",False,True,24,site,Incidence,Kidney and Renal Pelvis,786.0,7.0
site_incidence__kidney_and_renal_pelvis__direct_effect,incidence_rate__kidney_and_renal_pelvis,hypoxia_burden,direct_effect,"[""median_income_log1p"", ""acs_per_capita_income_log1p"", ""acs_poverty_pct"", ""acs_unemployment_rate"", ""acs_bachelors_plus_pct"", ""acs_less_than_high_school_pct"", ""acs_broadband_pct"", ""acs_owner_occupied_pct"", ""acs_rent_burden_35plus_pct"", ""acs_mean_travel_time_min"", ""acs_median_age_years"", ""acs_under_18_pct"", ""acs_age_65_plus_pct"", ""acs_nonhisp_white_pct"", ""acs_black_pct"", ""acs_hispanic_pct"", ""acs_asian_pct"", ""places_current_smoking_pct"", ""places_lpa_pct"", ""places_no_health_insurance_pct"", ""places_copd_pct"", ""places_poor_physical_health_pct"", ""places_poor_mental_health_pct"", ""svi_rpl_theme1"", ""svi_rpl_theme2"", ""svi_rpl_theme3"", ""svi_rpl_theme4"", ""svi_ep_limeng"", ""svi_ep_noveh"", ""rucc_code_2023"", ""rucc_nonmetro_flag"", ""local_diabetes_pct"", ""local_obesity_pct"", ""places_diabetes_pct"", ""places_obesity_pct"", ""places_high_blood_pressure_pct"", ""places_stroke_pct"", ""foundation_embedding_01"", ""foundation_embedding_02"", ""foundation_embedding_03"", ""foundation_embedding_04"", ""foundation_embedding_05"", ""foundation_embedding_06"", ""foundation_embedding_07"", ""foundation_embedding_08"", ""foundation_embedding_09"", ""foundation_embedding_10"", ""foundation_embedding_11"", ""foundation_embedding_12"", ""foundation_embedding_13"", ""foundation_embedding_14"", ""foundation_embedding_15"", ""foundation_embedding_16"", ""foundation_embedding_17"", ""foundation_embedding_18"", ""foundation_embedding_19"", ""foundation_embedding_20"", ""foundation_embedding_21"", ""foundation_embedding_22"", ""foundation_embedding_23"", ""foundation_embedding_24""]",True,True,24,site,Incidence,Kidney and Renal Pelvis,786.0,7.0
site_incidence__non_hodgkin_lymphoma__total_effect,incidence_rate__non_hodgkin_lymphoma,hypoxia_burden,total_effect,"[""median_income_log1p"", ""acs_per_capita_income_log1p"", ""acs_poverty_pct"", ""acs_unemployment_rate"", ""acs_bachelors_plus_pct"", ""acs_less_than_high_school_pct"", ""acs_broadband_pct"", ""acs_owner_occupied_pct"", ""acs_rent_burden_35plus_pct"", ""acs_mean_travel_time_min"", ""acs_median_age_years"", ""acs_under_18_pct"", ""acs_age_65_plus_pct"", ""acs_nonhisp_white_pct"", ""acs_black_pct"", ""acs_hispanic_pct"", ""acs_asian_pct"", ""places_current_smoking_pct"", ""places_lpa_pct"", ""places_no_health_insurance_pct"", ""places_copd_pct"", ""places_poor_physical_health_pct"", ""places_poor_mental_health_pct"", ""svi_rpl_theme1"", ""svi_rpl_theme2"", ""svi_rpl_theme3"", ""svi_rpl_theme4"", ""svi_ep_limeng"", ""svi_ep_noveh"", ""rucc_code_2023"", ""rucc_nonmetro_flag"", ""foundation_embedding_01"", ""foundation_embedding_02"", ""foundation_embedding_03"", ""foundation_embedding_04"", ""foundation_embedding_05"", ""foundation_embedding_06"", ""foundation_embedding_07"", ""foundation_embedding_08"", ""foundation_embedding_09"", ""foundation_embedding_10"", ""foundation_embedding_11"", ""foundation_embedding_12"", ""foundation_embedding_13"", ""foundation_embedding_14"", ""foundation_embedding_15"", ""foundation_embedding_16"", ""foundation_embedding_17"", ""foundation_embedding_18"", ""foundation_embedding_19"", ""foundation_embedding_20"", ""foundation_embedding_21"", ""foundation_embedding_22"", ""foundation_embedding_23"", ""foundation_embedding_24""]",False,True,24,site,Incidence,Non-Hodgkin Lymphoma,754.0,8.0
site_incidence__non_hodgkin_lymphoma__direct_effect,incidence_rate__non_hodgkin_lymphoma,hypoxia_burden,direct_effect,"[""median_income_log1p"", ""acs_per_capita_income_log1p"", ""acs_poverty_pct"", ""acs_unemployment_rate"", ""acs_bachelors_plus_pct"", ""acs_less_than_high_school_pct"", ""acs_broadband_pct"", ""acs_owner_occupied_pct"", ""acs_rent_burden_35plus_pct"", ""acs_mean_travel_time_min"", ""acs_median_age_years"", ""acs_under_18_pct"", ""acs_age_65_plus_pct"", ""acs_nonhisp_white_pct"", ""acs_black_pct"", ""acs_hispanic_pct"", ""acs_asian_pct"", ""places_current_smoking_pct"", ""places_lpa_pct"", ""places_no_health_insurance_pct"", ""places_copd_pct"", ""places_poor_physical_health_pct"", ""places_poor_mental_health_pct"", ""svi_rpl_theme1"", ""svi_rpl_theme2"", ""svi_rpl_theme3"", ""svi_rpl_theme4"", ""svi_ep_limeng"", ""svi_ep_noveh"", ""rucc_code_2023"", ""rucc_nonmetro_flag"", ""local_diabetes_pct"", ""local_obesity_pct"", ""places_diabetes_pct"", ""places_obesity_pct"", ""places_high_blood_pressure_pct"", ""places_stroke_pct"", ""foundation_embedding_01"", ""foundation_embedding_02"", ""foundation_embedding_03"", ""foundation_embedding_04"", ""foundation_embedding_05"", ""foundation_embedding_06"", ""foundation_embedding_07"", ""foundation_embedding_08"", ""foundation_embedding_09"", ""foundation_embedding_10"", ""foundation_embedding_11"", ""foundation_embedding_12"", ""foundation_embedding_13"", ""foundation_embedding_14"", ""foundation_embedding_15"", ""foundation_embedding_16"", ""foundation_embedding_17"", ""foundation_embedding_18"", ""foundation_embedding_19"", ""foundation_embedding_20"", ""foundation_embedding_21"", ""foundation_embedding_22"", ""foundation_embedding_23"", ""foundation_embedding_24""]",True,True,24,site,Incidence,Non-Hodgkin Lymphoma,754.0,8.0
site_mortality__lung_and_bronchus__total_effect,mortality_rate__lung_and_bronchus,hypoxia_burden,total_effect,"[""median_income_log1p"", ""acs_per_capita_income_log1p"", ""acs_poverty_pct"", ""acs_unemployment_rate"", ""acs_bachelors_plus_pct"", ""acs_less_than_high_school_pct"", ""acs_broadband_pct"", ""acs_owner_occupied_pct"", ""acs_rent_burden_35plus_pct"", ""acs_mean_travel_time_min"", ""acs_median_age_years"", ""acs_under_18_pct"", ""acs_age_65_plus_pct"", ""acs_nonhisp_white_pct"", ""acs_black_pct"", ""acs_hispanic_pct"", ""acs_asian_pct"", ""places_current_smoking_pct"", ""places_lpa_pct"", ""places_no_health_insurance_pct"", ""places_copd_pct"", ""places_poor_physical_health_pct"", ""places_poor_mental_health_pct"", ""svi_rpl_theme1"", ""svi_rpl_theme2"", ""svi_rpl_theme3"", ""svi_rpl_theme4"", ""svi_ep_limeng"", ""svi_ep_noveh"", ""rucc_code_2023"", ""rucc_nonmetro_flag"", ""foundation_embedding_01"", ""foundation_embedding_02"", ""foundation_embedding_03"", ""foundation_embedding_04"", ""foundation_embedding_05"", ""foundation_embedding_06"", ""foundation_embedding_07"", ""foundation_embedding_08"", ""foundation_embedding_09"", ""foundation_embedding_10"", ""foundation_embedding_11"", ""foundation_embedding_12"", ""foundation_embedding_13"", ""foundation_embedding_14"", ""foundation_embedding_15"", ""foundation_embedding_16"", ""foundation_embedding_17"", ""foundation_embedding_18"", ""foundation_embedding_19"", ""foundation_embedding_20"", ""foundation_embedding_21"", ""foundation_embedding_22"", ""foundation_embedding_23"", ""foundation_embedding_24""]",False,True,24,site,Mortality,Lung and Bronchus,1103.0,1.0
site_mortality__lung_and_bronchus__direct_effect,mortality_rate__lung_and_bronchus,hypoxia_burden,direct_effect,"[""median_income_log1p"", ""acs_per_capita_income_log1p"", ""acs_poverty_pct"", ""acs_unemployment_rate"", ""acs_bachelors_plus_pct"", ""acs_less_than_high_school_pct"", ""acs_broadband_pct"", ""acs_owner_occupied_pct"", ""acs_rent_burden_35plus_pct"", ""acs_mean_travel_time_min"", ""acs_median_age_years"", ""acs_under_18_pct"", ""acs_age_65_plus_pct"", ""acs_nonhisp_white_pct"", ""acs_black_pct"", ""acs_hispanic_pct"", ""acs_asian_pct"", ""places_current_smoking_pct"", ""places_lpa_pct"", ""places_no_health_insurance_pct"", ""places_copd_pct"", ""places_poor_physical_health_pct"", ""places_poor_mental_health_pct"", ""svi_rpl_theme1"", ""svi_rpl_theme2"", ""svi_rpl_theme3"", ""svi_rpl_theme4"", ""svi_ep_limeng"", ""svi_ep_noveh"", ""rucc_code_2023"", ""rucc_nonmetro_flag"", ""local_diabetes_pct"", ""local_obesity_pct"", ""places_diabetes_pct"", ""places_obesity_pct"", ""places_high_blood_pressure_pct"", ""places_stroke_pct"", ""foundation_embedding_01"", ""foundation_embedding_02"", ""foundation_embedding_03"", ""foundation_embedding_04"", ""foundation_embedding_05"", ""foundation_embedding_06"", ""foundation_embedding_07"", ""foundation_embedding_08"", ""foundation_embedding_09"", ""foundation_embedding_10"", ""foundation_embedding_11"", ""foundation_embedding_12"", ""foundation_embedding_13"", ""foundation_embedding_14"", ""foundation_embedding_15"", ""foundation_embedding_16"", ""foundation_embedding_17"", ""foundation_embedding_18"", ""foundation_embedding_19"", ""foundation_embedding_20"", ""foundation_embedding_21"", ""foundation_embedding_22"", ""foundation_embedding_23"", ""foundation_embedding_24""]",True,True,24,site,Mortality,Lung and Bronchus,1103.0,1.0
site_mortality__colon_and_rectum__total_effect,mortality_rate__colon_and_rectum,hypoxia_burden,total_effect,"[""median_income_log1p"", ""acs_per_capita_income_log1p"", ""acs_poverty_pct"", ""acs_unemployment_rate"", ""acs_bachelors_plus_pct"", ""acs_less_than_high_school_pct"", ""acs_broadband_pct"", ""acs_owner_occupied_pct"", ""acs_rent_burden_35plus_pct"", ""acs_mean_travel_time_min"", ""acs_median_age_years"", ""acs_under_18_pct"", ""acs_age_65_plus_pct"", ""acs_nonhisp_white_pct"", ""acs_black_pct"", ""acs_hispanic_pct"", ""acs_asian_pct"", ""places_current_smoking_pct"", ""places_lpa_pct"", ""places_no_health_insurance_pct"", ""places_copd_pct"", ""places_poor_physical_health_pct"", ""places_poor_mental_health_pct"", ""svi_rpl_theme1"", ""svi_rpl_theme2"", ""svi_rpl_theme3"", ""svi_rpl_theme4"", ""svi_ep_limeng"", ""svi_ep_noveh"", ""rucc_code_2023"", ""rucc_nonmetro_flag"", ""foundation_embedding_01"", ""foundation_embedding_02"", ""foundation_embedding_03"", ""foundation_embedding_04"", ""foundation_embedding_05"", ""foundation_embedding_06"", ""foundation_embedding_07"", ""foundation_embedding_08"", ""foundation_embedding_09"", ""foundation_embedding_10"", ""foundation_embedding_11"", ""foundation_embedding_12"", ""foundation_embedding_13"", ""foundation_embedding_14"", ""foundation_embedding_15"", ""foundation_embedding_16"", ""foundation_embedding_17"", ""foundation_embedding_18"", ""foundation_embedding_19"", ""foundation_embedding_20"", ""foundation_embedding_21"", ""foundation_embedding_22"", ""foundation_embedding_23"", ""foundation_embedding_24""]",False,True,24,site,Mortality,Colon and Rectum,866.0,2.0
