event_type,site,effect_type,model_name,support_count,n_rows,slope,slope_se,ci_lower,ci_upper,p_value,effect_per_sd_treatment,effect_q90_minus_q10,effect_q90_minus_q10_pct_of_mean_outcome,site_rank_within_event
Incidence,Prostate,total_effect,site_incidence__prostate__total_effect,981.0,981,-21.50460403921235,25.212602069356976,-70.92130409515202,27.91209601672732,0.3936976981927862,-1.3950542308831828,-2.968838051333859,-0.026630513479327052,1.0
Incidence,Prostate,direct_effect,site_incidence__prostate__direct_effect,981.0,981,-28.03372022321115,25.943737314982144,-78.88344536057615,22.816004914153847,0.27989364821699075,-1.8186133505864166,-3.8702212404076963,-0.03471593166368535,1.0
Incidence,Lung and Bronchus,total_effect,site_incidence__lung_and_bronchus__total_effect,976.0,976,-89.73692165816556,14.573643666826653,-118.3012632451458,-61.172580071185315,7.391150174188767e-10,-5.367360109163148,-10.017056637836507,-0.15200011316120074,2.0
Incidence,Lung and Bronchus,direct_effect,site_incidence__lung_and_bronchus__direct_effect,976.0,976,-92.92478303302433,15.025169426899563,-122.37411510974746,-63.47545095630119,6.22569788749566e-10,-5.558033019051205,-10.372907800941633,-0.15739984474065663,2.0
Incidence,Male and Female Breast,total_effect,site_incidence__male_and_female_breast__total_effect,975.0,975,-69.80702275020269,20.829067149306983,-110.63199436284438,-28.982051137561008,0.0008039728164397049,-4.552873370700109,-9.469028637471803,-0.07756060837995897,3.0
Incidence,Male and Female Breast,direct_effect,site_incidence__male_and_female_breast__direct_effect,975.0,975,-75.06548809201665,21.001387624830624,-116.22820783668467,-33.902768347348626,0.0003511515265319361,-4.895834950814549,-10.182317314586237,-0.08340314047755992,3.0
Incidence,Colon and Rectum,total_effect,site_incidence__colon_and_rectum__total_effect,954.0,954,-47.12033520235016,12.323933400864396,-71.27524466804438,-22.965425736655945,0.00013158030237733594,-2.8611417818087443,-5.2818043569725734,-0.12398571268935753,4.0
Incidence,Colon and Rectum,direct_effect,site_incidence__colon_and_rectum__direct_effect,954.0,954,-49.552588349976524,12.420206251265768,-73.89619260245743,-25.20898409749562,6.616384487597007e-05,-3.0088279363049995,-5.554440050611536,-0.13038559585348125,4.0
Incidence,Melanomas of the Skin,total_effect,site_incidence__melanomas_of_the_skin__total_effect,801.0,801,-0.9755369594196233,9.925629640672552,-20.429771055137827,18.478697136298578,0.9217062727570564,-0.05923546397803824,-0.10696462221074168,-0.0041188694272434245,5.0
Incidence,Melanomas of the Skin,direct_effect,site_incidence__melanomas_of_the_skin__direct_effect,801.0,801,-1.4718846187911174,9.953077049746316,-20.9799156362939,18.03614639871166,0.8824356022440883,-0.08937413131748535,-0.16138761393567191,-0.006214526777514756,5.0
Incidence,Urinary Bladder,total_effect,site_incidence__urinary_bladder__total_effect,797.0,797,-13.73620139451457,5.566678169123119,-24.646890605995882,-2.8255121830332577,0.013603134499763303,-0.7825835977079365,-1.4458212214907393,-0.07177414315520089,6.0
Incidence,Urinary Bladder,direct_effect,site_incidence__urinary_bladder__direct_effect,797.0,797,-13.755205771711148,5.65077837419217,-24.8307313851278,-2.679680158294495,0.014924154523815335,-0.7836663216322258,-1.4478215512080221,-0.0718734444722322,6.0
Incidence,Kidney and Renal Pelvis,total_effect,site_incidence__kidney_and_renal_pelvis__total_effect,786.0,786,-11.563478610252758,5.038736146591508,-21.439401457572114,-1.6875557629334033,0.02173791129752327,-0.5987952529250595,-1.0270344009744854,-0.05114609452873597,7.0
Incidence,Kidney and Renal Pelvis,direct_effect,site_incidence__kidney_and_renal_pelvis__direct_effect,786.0,786,-11.110907144562464,5.020908838581997,-20.951888468183178,-1.2699258209417508,0.026902645778092416,-0.5753596022529163,-0.9868383250504762,-0.0491443385048453,7.0
Incidence,Non-Hodgkin Lymphoma,total_effect,site_incidence__non_hodgkin_lymphoma__total_effect,754.0,754,-3.841914695565884,5.893068471988609,-15.392328900663557,7.708499509531788,0.5144412329366094,-0.2221000205554456,-0.41776796026795,-0.022081192398533112,8.0
Incidence,Non-Hodgkin Lymphoma,direct_effect,site_incidence__non_hodgkin_lymphoma__direct_effect,754.0,754,-5.1180723212241235,6.019801314968089,-16.91688289856158,6.68073825611333,0.3952104626689729,-0.2958743381418843,-0.5565367280563003,-0.02941583782820323,8.0
Mortality,Lung and Bronchus,total_effect,site_mortality__lung_and_bronchus__total_effect,1103.0,1103,-58.673535398055684,10.35462364356536,-78.9685977394438,-38.37847305666758,1.4582098826065308e-08,-3.040673615335954,-4.963887495479255,-0.11055629631638965,1.0
Mortality,Lung and Bronchus,direct_effect,site_mortality__lung_and_bronchus__direct_effect,1103.0,1103,-57.47712484831265,10.78621200002936,-78.6181003683702,-36.336149328255104,9.888607781109742e-08,-2.978671317928224,-4.862668993354944,-0.10830194572449012,1.0
Mortality,Colon and Rectum,total_effect,site_mortality__colon_and_rectum__total_effect,866.0,866,-5.101458051369278,8.38949582076563,-21.544869860069912,11.341953757331357,0.5431365164460962,-0.24226503865519977,-0.39263570822099725,-0.024962560351756705,2.0
Mortality,Colon and Rectum,direct_effect,site_mortality__colon_and_rectum__direct_effect,866.0,866,-7.190128421874609,8.427612611228966,-23.70824913988338,9.327992296134166,0.39356884205715326,-0.3414546826654306,-0.5533910377573158,-0.03518288553205902,2.0
Mortality,Pancreas,total_effect,site_mortality__pancreas__total_effect,703.0,703,0.8672445131439758,3.1043446469127165,-5.217270994804949,6.9517600210929,0.7799649083925708,0.04355973718258649,0.07429336273629393,0.006265834153563673,3.0
Mortality,Pancreas,direct_effect,site_mortality__pancreas__direct_effect,703.0,703,-0.07585233823552552,3.1891716726917805,-6.326628816711414,6.174924140240364,0.981024632673757,-0.0038098919833415143,-0.0064979659064068425,-0.0005480324918065133,3.0
Mortality,Male and Female Breast,total_effect,site_mortality__male_and_female_breast__total_effect,653.0,653,8.418400902591454,5.91968546466144,-3.184182608144969,20.020984413327877,0.1549964283046137,0.4195572907417689,0.6767793447049872,0.03237585618469742,4.0
Mortality,Male and Female Breast,direct_effect,site_mortality__male_and_female_breast__direct_effect,653.0,653,8.003804649614795,5.996548835015824,-3.7494310670162214,19.75704036624581,0.18196303725913465,0.39889459212913453,0.6434487652216185,0.03078138369325848,4.0
Mortality,Prostate,total_effect,site_mortality__prostate__total_effect,562.0,562,30.061789421213003,8.118588264439067,14.149356422912431,45.97422241951357,0.00021320390138117838,1.624714544218989,2.797450469902979,0.13424590039240328,5.0
Mortality,Prostate,direct_effect,site_mortality__prostate__direct_effect,562.0,562,27.362380391676595,8.366201962164364,10.96462454583444,43.76013623751875,0.001073250222590929,1.4788227262159972,2.5462524140477845,0.12219124221421171,5.0
Mortality,Liver and Intrahepatic Bile Duct,total_effect,site_mortality__liver_and_intrahepatic_bile_duct__total_effect,499.0,499,-3.4752550325323774,1.9883225678179743,-7.3723672654556065,0.42185720039085206,0.08049301598288978,-0.1724193172123698,-0.3037285937599963,-0.042536153429945316,6.0
Mortality,Liver and Intrahepatic Bile Duct,direct_effect,site_mortality__liver_and_intrahepatic_bile_duct__direct_effect,499.0,499,-4.006169906730913,2.0419238293838107,-8.008340612323181,-0.003999201138644715,0.04976731074050261,-0.19875982438386755,-0.3501292252638899,-0.04903440358302632,6.0
Mortality,Leukemias,total_effect,site_mortality__leukemias__total_effect,475.0,475,0.8538745400713975,2.500859530811274,-4.0478101403187,5.755559220461495,0.732778066677724,0.04408773720906553,0.07659457609449269,0.011505778958566783,7.0
Mortality,Leukemias,direct_effect,site_mortality__leukemias__direct_effect,475.0,475,0.03003350619889829,2.728292892150593,-5.317420562416264,5.377487574814061,0.9912169301897974,0.0015507071198693333,0.0026940769023791047,0.00040469514836029047,7.0
Mortality,Non-Hodgkin Lymphoma,total_effect,site_mortality__non_hodgkin_lymphoma__total_effect,415.0,415,-0.02294705447445752,1.685753139529887,-3.327023207953036,3.281129099004121,0.9891392549515385,-0.0011434975526818359,-0.0020609179345239892,-0.0003722335130032013,8.0
Mortality,Non-Hodgkin Lymphoma,direct_effect,site_mortality__non_hodgkin_lymphoma__direct_effect,415.0,415,-0.8376469991874933,1.8930241757283741,-4.547974383615107,2.8726803852401197,0.6581336210411344,-0.04174162285832227,-0.07523064563023911,-0.013587813002806821,8.0
